DATA_TYPE Graph,,,
VERSION Tekscan Pressure Measurement System 6.85-29,,,
HARDWARE 00114-2337,,,
MAP_VERSION 8.0,,,
HW_TYPE 4,,,
VersaPogoFsx 0,,,
VersaV6CuffFsx 0,,,
FILENAME C:\Tekscan\Research\Database\MOVIES\TaquetLéon\TaquL02.fsx,,,
SENSOR_TYPE Socket XL Med,,,
ROWS 16,,,
COLS 15,,,
ROW_SPACING 1.27 centimeters,,,
COL_SPACING 1.27 centimeters,,,
SENSEL_AREA 1.6129 cm2,,,
NOISE_THRESHOLD 3,,,
SECONDS_PER_FRAME 0.005,,,
MICRO_SECOND 1,,,
TIME 11/8/2021 2:09:33.681PM,,,
SCALE_FACTOR  0.10632 N/cm2 / raw,,,
EXPONENT 1.00413,,,
SATURATION_PRESSURE 27.7392 N/cm2 (Exponential Extrapolation),,,
CALIBRATION_POINT_1 2.99895 (Pounds) 77 (Raw Sum) 9 (Number of Loaded Cells),,,
CALIBRATION_MODE_1 Point,,,
CALIBRATION_POINT_2 32 (Pounds) 815 (Raw Sum) 22 (Number of Loaded Cells),,,
CALIBRATION_MODE_2 Point,,,
CALIBRATION_INFO C:\Tekscan\Research\Database\MOVIES\TaquetLéon\TaquL02.fsx,,,
SENSITIVITY Default,,,
MAP_INDEX 0,,,
SUBMAP 0,,,
Last Name: Taquet,,,
First Name: Léon,,,
Gender: Male,,,
START_FRAME 1,,,
END_FRAME 15578,,,
UNITS Pounds,,,
ASCII_DATA @@,,,
Frames(X), Time(X), Raw Sum, Force(Y:green)
1,0,36,0
2,0.005,54,0
3,0.01,69,0
4,0.015,58,0
5,0.02,48,0
6,0.025,77,0
7,0.03,55,0
8,0.035,59,0
9,0.04,76,0
10,0.045,76,0
11,0.05,67,0
12,0.055,85,0
13,0.06,53,0
14,0.065,50,0
15,0.07,54,0
16,0.075,66,0
17,0.08,66,0
18,0.085,60,0
19,0.09,75,0
20,0.095,54,0
21,0.1,63,0
22,0.105,68,0
23,0.11,43,0
24,0.115,82,0
25,0.12,50,0
26,0.125,58,0
27,0.13,64,0
28,0.135,72,0
29,0.14,65,0
30,0.145,75,0
31,0.15,70,0
32,0.155,82,0
33,0.16,63,0
34,0.165,86,0
35,0.17,73,0
36,0.175,84,0
37,0.18,49,0
38,0.185,86,0.2
39,0.19,68,0
40,0.195,58,0
41,0.2,53,0
42,0.205,52,0
43,0.21,68,0
44,0.215,63,0
45,0.22,53,0
46,0.225,69,0
47,0.23,63,0
48,0.235,71,0
49,0.24,73,0
50,0.245,67,0
51,0.25,58,0
52,0.255,58,0
53,0.26,53,0
54,0.265,54,0
55,0.27,85,0
56,0.275,106,0
57,0.28,68,0
58,0.285,103,0
59,0.29,64,0
60,0.295,76,0
61,0.3,77,0
62,0.305,90,0
63,0.31,55,0
64,0.315,65,0
65,0.32,103,0
66,0.325,47,0
67,0.33,65,0
68,0.335,68,0
69,0.34,67,0
70,0.345,68,0
71,0.35,62,0
72,0.355,70,0
73,0.36,55,0
74,0.365,44,0
75,0.37,84,0
76,0.375,67,0
77,0.38,69,0
78,0.385,57,0
79,0.39,84,0
80,0.395,72,0
81,0.4,69,0
82,0.405,49,0
83,0.41,64,0
